Specimen properties : Length,40,mm,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Stress-Strain,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Linear,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Modulus,Unnamed: 35,Failure,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
Cross Section Average,63.8025,mm2,,,,,,,,,,Polynomial Coefficients,,,,,,,,,,,,,,,,Force,,Stress,Extension,Strain,,Secant,Tangent,Load,Stress,Extension,Strain,Stiffness
Time,Extension,Load,Total cycle count,,,Extension,Load,Strain,Stress,E-tan,,X6,,,,,,,,,,Strain,Stress,E-tan,,,,(N),,(MPa),(mm),(%),,(MPa),(MPa),(N),(MPa),(mm),(%),(N/mm)
(s),(mm),(N),,,,(mm),(N),(mm/mm),(MPa),(MPa),,X5,-258653.51791675593,,,,,,,,,(mm/mm),(MPa),(MPa),,,,399.3357787484723,,6.258936228963948,3.84,9.6,,65.19725238504112,122.5942385848534,629.94043,9.873287567101602,5.66661,14.166525000000002,103.99369238241465
0,0.06477,1.22892,0,,,0.12648,0.97866,0,0,,,X4,11241.609021660917,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
0.1,0.07837,1.22973,0,,,0.72732,9.63863,0.015020999999999998,0.15106978566670584,23.779609221994157,,X3,4682.3928902579655,,,,,,,,,0.001,0.005247192073509886,5.247192073509886,,,,,,,,,,,,,,,,
0.2,0.09531,1.57816,0,,,1.62027,55.04984,0.03734475,0.8628163473218134,47.38454907413515,,X2,303.41697030337775,,,,,,,,,0.002,0.011129462067888842,5.882269994378956,,,,,,,,,,,,,,,,
0.3,0.11197,1.84245,0,,,2.45911,140.99435,0.05831575,2.2098561968574897,80.44290648105664,,X1,4.939081727360747,,,,,,,,,0.003,0.017675270240375504,6.545808172486662,,,,,,,,,,,,,,,,
0.4,0.12858,2.16589,0,,,3.29301,269.7243,0.07916325,4.2274879510990955,109.51205361359234,,,,,,,,,,,,0.004,0.024913284569980737,7.2380143296052335,,,,,,,,,,,,,,,,
0.5,0.14546,2.5211,0,,,4.12647,432.24939,0.09999975000000001,6.774803338427177,114.74387755115418,,,,,,,,,,,,0.005,0.03287234971906547,7.95906514908473,,,,,,,,,,,,,,,,
0.6,0.1619,2.83986,0,,,4.95975,574.77643,0.12083174999999999,9.008681948199522,74.365309323057,,,,,,,,,,,,0.006,0.041581455994918554,8.709106275853085,,,,,,,,,,,,,,,,
