Specimen properties : Length,62,mm,Unnamed: 3,Unnamed: 4,This ,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Stress-Strain,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Linear,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Modulus,Unnamed: 35,Failure,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
Cross Section Average,17.103,mm2,,,,,,,,,,Polynomial Coefficients,,,,,,,,,,,,,,,,Force,,Stress,Extension,Strain,,Secant,Tangent,Load,Stress,Extension,Strain,Stiffness
Time,Extension,Load,Total cycle count,,,Extension,Load,Strain,Stress,E-tan,,X6,-14767309.563537348,,,,,,,,,Strain,Stress,E-tan,,,,(N),,(MPa),(mm),(%),,(MPa),(MPa),(N),(MPa),(mm),(%),(N/mm)
(s),(mm),(N),,,,(mm),(N),(mm/mm),(MPa),(MPa),,X5,7398177.535741801,,,,,,,,,(mm/mm),(MPa),(MPa),,,,320.33044837376866,,18.729488883457208,5.58,9,,208.10543203841343,375.54682008452255,545.89709,31.918206747354265,7.999910000000001,12.90308064516129,57.406890389564275
0,2.01308,1.27707,0,,,3.81095,1.08664,0,0,,,X4,-1500041.4930318564,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
0.1,1.9962,1.02557,0,,,4.20302,2.15771,0.0063237096774193605,0.12615973805765068,34.33749499665587,,X3,132227.53697999578,,,,,,,,,0.001,0.029939908144764264,29.939908144764267,,,,,,,,,,,,,,,,
0.2,2.0064,1.05391,0,,,5.13474,12.16686,0.02135145161290322,0.7113874758814243,69.77629303235219,,X2,-2218.1065643088104,,,,,,,,,0.002,0.05621618883164132,26.276280686877055,,,,,,,,,,,,,,,,
0.3,2.02447,1.0803,0,,,5.97675,36.57048,0.03493225806451613,2.1382494299245747,154.57606710146,,X1,32.027279830175885,,,,,,,,,0.003,0.07956930754104519,23.35311870940387,,,,,,,,,,,,,,,,
0.4,2.04136,1.15311,0,,,6.81082,83.67222,0.04838499999999999,4.892253990527977,244.50041705957238,,,,,,,,,,,,0.004,0.10070548128316278,21.1361737421176,,,,,,,,,,,,,,,,
0.5,2.05796,1.07176,0,,,7.64428,149.04198,0.06182790322580645,8.714376425188563,311.01684751290315,,,,,,,,,,,,0.005,0.120297539798101,19.59205851493821,,,,,,,,,,,,,,,,
0.6,2.07462,1.1326,0,,,8.47745,226.66229,0.07526612903225806,13.2527796293048,354.37499998258977,,,,,,,,,,,,0.006,0.13898577612357088,18.68823632546988,,,,,,,,,,,,,,,,
